400,0,0.1575
66.667,0.1025,0.1325
36.364,0.1125,0.1375
25,0.1125,0.13
19.048,0.1075,0.1225
15.385,0.12,0.1225
12.903,0.1225,0.1175
11.111,0.125,0.1175
9.7561,0.1275,0.125
8.6957,0.13,0.1275
7.8431,0.13,0.13
7.1429,0.1275,0.1275
6.5574,0.1325,0.13
6.0606,0.1325,0.1325
5.6338,0.135,0.1275
5.2632,0.14,0.13
4.9383,0.1475,0.1375
4.6512,0.145,0.145
4.3956,0.145,0.15
4.1667,0.145,0.1475
3.9604,0.1475,0.1525
3.7736,0.155,0.1575
3.6036,0.16,0.1575
3.4483,0.165,0.16
3.3058,0.1675,0.165
3.1746,0.1725,0.1675
3.0534,0.17,0.1775
2.9412,0.1875,0.1775
2.8369,0.185,0.1825
2.7397,0.195,0.19
2.649,0.1975,0.19
2.5641,0.2,0.1975
2.4845,0.205,0.1975
2.4096,0.2025,0.2025
2.3392,0.2025,0.2
2.2727,0.205,0.2025
2.2099,0.21,0.205
2.1505,0.21,0.205
2.0942,0.2125,0.205
2.0408,0.215,0.2075
1.99,0.22,0.2075
1.9417,0.2225,0.2125
1.8957,0.22,0.21
1.8519,0.2225,0.215
1.81,0.22,0.2175
1.7699,0.2175,0.2175
1.7316,0.215,0.22
1.6949,0.22,0.2175
1.6598,0.225,0.2225
1.626,0.2225,0.2175
1.5936,0.225,0.22
1.5625,0.2275,0.225
1.5326,0.23,0.2225
1.5038,0.23,0.225
1.476,0.2325,0.2225
1.4493,0.235,0.2225
1.4235,0.2375,0.2225
1.3986,0.2325,0.2225
1.3746,0.235,0.2225
1.3514,0.2325,0.2225
1.3289,0.235,0.2225
1.3072,0.2375,0.2275
1.2862,0.24,0.225
1.2658,0.245,0.2275
1.2461,0.25,0.23
1.227,0.2525,0.2275
1.2085,0.25,0.2275
1.1905,0.25,0.23
1.173,0.245,0.2275
1.1561,0.235,0.23
1.1396,0.2375,0.225
1.1236,0.2375,0.2275
1.108,0.235,0.225
1.0929,0.235,0.2275
1.0782,0.23,0.2275
1.0638,0.2325,0.225
1.0499,0.2275,0.2225
1.0363,0.2325,0.215
1.023,0.23,0.2175
1.0101,0.22,0.2075
